scale,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
medium,genetic_hyper,5,0,0.0,9734.858,510.306,8980.25,10267.31,161.6,0.4899,161.0,162.0,162.0,0.0,162.0,162.0,3.2,2.5612,0.0,7.0,0.0198,0.0158,0.0,0.0432,3218.38,186.1593,2980.0,3451.9,0.9975,0.003,0.9938,1.0
medium,energy_aware_alns,5,0,0.0,9552.072,767.2862,8201.91,10406.53,161.0,0.8944,160.0,162.0,162.0,0.0,162.0,162.0,5.2,4.7917,0.0,13.0,0.0321,0.0296,0.0,0.0802,3153.58,161.1877,2927.6,3291.7,0.9938,0.0055,0.9877,1.0
medium,time_first_bundle,5,0,0.0,9511.034,540.8688,8622.94,10235.34,161.6,0.8,160.0,162.0,162.0,0.0,162.0,162.0,3.6,2.5768,0.0,8.0,0.0222,0.0159,0.0,0.0494,3174.78,179.2252,2945.6,3376.5,0.9975,0.0049,0.9877,1.0
medium,max_weight,5,0,0.0,6435.516,787.1652,5405.64,7547.76,155.4,5.2383,149.0,162.0,162.0,0.0,162.0,162.0,25.4,6.8293,16.0,33.0,0.1568,0.0421,0.0988,0.2037,3589.84,58.8999,3483.6,3648.0,0.9593,0.0323,0.9198,1.0
medium,nearest_task,5,0,0.0,6983.924,522.2931,6401.42,7830.8,155.4,5.4991,149.0,162.0,162.0,0.0,162.0,162.0,22.6,5.004,14.0,29.0,0.1395,0.0309,0.0864,0.179,3548.22,76.7681,3429.0,3628.0,0.9593,0.0339,0.9198,1.0
medium,mappo,5,0,0.0,9392.212,410.0503,8888.16,9841.04,160.0,0.0,160.0,160.0,162.0,0.0,162.0,162.0,6.4,1.4967,5.0,9.0,0.0395,0.0092,0.0309,0.0556,3228.64,170.6254,3007.6,3426.2,0.9877,0.0,0.9877,0.9877
